32,81,627,163,254,244,881,183,942834082
26,,,,
28,,,,
28,,,,
29,,,,
28,,,,
28,,,,
27,,,,
27,,,,
26,,,,
25,,,,
25,,,,
24,,,,
21,,,,
20,,,,
19,,,,
17,,,,
17,,,,
17,,,,
16,,,,
15,,,,
14,,,,
13,,,,
13,,,,
14,,,,
14,,,,
13,,,,
13,,,,
13,,,,
13,,,,
13,,,,
14,,,,
14,,,,
13,,,,
13,,,,
14,,,,
14,,,,
14,,,,
13,,,,
13,,,,
13,,,,
13,,,,
14,,,,
13,,,,
12,,,,
12,,,,
13,,,,
13,,,,
12,,,,
14,,,,
16,,,,
18,,,,
19,,,,
20,,,,
20,,,,
18,,,,
18,,,,
18,,,,
21,,,,
21,,,,
20,,,,
19,,,,
18,,,,
18,,,,
18,,,,
19,,,,
19,,,,
20,,,,
20,,,,
21,,,,
21,,,,
22,,,,
24,,,,
26,,,,
28,,,,
29,,,,
31,,,,
32,,,,
32,,,,
32,,,,
31,,,,
30,,,,
30,,,,
30,,,,
30,,,,
29,,,,
27,,,,
23,,,,
23,,,,
22,,,,
22,,,,
20,,,,
19,,,,
18,,,,
16,,,,
14,,,,
14,,,,
14,,,,
14,,,,
15,,,,
15,,,,
16,,,,
15,,,,
14,,,,
14,,,,
13,,,,
14,,,,
14,,,,
14,,,,
14,,,,
14,,,,
14,,,,
14,,,,
13,,,,
12,,,,
11,,,,
10,,,,
9,,,,
8,,,,
8,,,,
9,,,,
9,,,,
10,,,,
10,,,,
10,,,,
10,,,,
10,,,,
11,,,,
11,,,,
10,,,,
11,,,,
11,,,,
10,,,,
10,,,,
9,,,,
9,,,,
9,,,,
8,,,,
7,,,,
6,,,,
6,,,,
6,,,,
6,,,,
7,,,,
8,,,,
9,,,,
11,,,,
13,,,,
13,,,,
14,,,,
14,,,,
15,,,,
14,,,,
14,,,,
15,,,,
16,,,,
17,,,,
17,,,,
18,,,,
18,,,,
18,,,,
18,,,,
18,,,,
18,,,,
17,,,,
17,,,,
18,,,,
19,,,,
21,,,,
22,,,,
22,,,,
22,,,,
23,,,,
23,,,,
21,,,,
20,,,,
19,,,,
18,,,,
18,,,,
16,,,,
15,,,,
14,,,,
14,,,,
13,,,,
13,,,,
12,,,,
12,,,,
11,,,,
9,,,,
9,,,,
9,,,,
9,,,,
10,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
15,,,,
14,,,,
13,,,,
12,,,,
12,,,,
12,,,,
12,,,,
13,,,,
14,,,,
15,,,,
15,,,,
16,,,,
16,,,,
17,,,,
16,,,,
17,,,,
18,,,,
21,,,,
23,,,,
24,,,,
27,,,,
29,,,,
32,,,,
34,,,,
35,,,,
35,,,,
36,,,,
35,,,,
34,,,,
33,,,,
31,,,,
31,,,,
31,,,,
29,,,,
28,,,,
28,,,,
26,,,,
26,,,,
25,,,,
24,,,,
24,,,,
25,,,,
26,,,,
28,,,,
30,,,,
31,,,,
31,,,,
32,,,,
30,,,,
28,,,,
27,,,,
25,,,,
26,,,,
25,,,,
25,,,,
23,,,,
22,,,,
22,,,,
22,,,,
22,,,,
21,,,,
19,,,,
18,,,,
17,,,,
18,,,,
19,,,,
20,,,,
22,,,,
23,,,,
23,,,,
23,,,,
23,,,,
23,,,,
23,,,,
22,,,,
21,,,,
21,,,,
22,,,,
22,,,,
22,,,,
20,,,,
19,,,,
18,,,,
17,,,,
17,,,,
16,,,,
14,,,,
14,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
17,,,,
17,,,,
16,,,,
15,,,,
15,,,,
15,,,,
15,,,,
15,,,,
15,,,,
14,,,,
15,,,,
15,,,,
15,,,,
16,,,,
16,,,,
17,,,,
16,,,,
15,,,,
15,,,,
15,,,,
15,,,,
16,,,,
16,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
16,,,,
16,,,,
16,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
17,,,,
16,,,,
16,,,,
17,,,,
17,,,,
20,,,,
21,,,,
21,,,,
22,,,,
22,,,,
23,,,,
22,,,,
22,,,,
22,,,,
22,,,,
23,,,,
23,,,,
22,,,,
22,,,,
21,,,,
21,,,,
21,,,,
21,,,,
22,,,,
22,,,,
22,,,,
21,,,,
20,,,,
20,,,,
20,,,,
22,,,,
24,,,,
26,,,,
27,,,,
30,,,,
30,,,,
30,,,,
29,,,,
28,,,,
28,,,,
29,,,,
29,,,,
29,,,,
29,,,,
28,,,,
27,,,,
25,,,,
24,,,,
24,,,,
23,,,,
22,,,,
21,,,,
21,,,,
21,,,,
21,,,,
22,,,,
23,,,,
22,,,,
21,,,,
19,,,,
19,,,,
18,,,,
17,,,,
19,,,,
22,,,,
24,,,,
25,,,,
27,,,,
27,,,,
29,,,,
30,,,,
31,,,,
34,,,,
36,,,,
36,,,,
35,,,,
35,,,,
36,,,,
36,,,,
36,,,,
36,,,,
37,,,,
38,,,,
39,,,,
39,,,,
38,,,,
38,,,,
37,,,,
36,,,,
35,,,,
33,,,,
31,,,,
31,,,,
29,,,,
29,,,,
28,,,,
28,,,,
27,,,,
27,,,,
27,,,,
28,,,,
30,,,,
32,,,,
33,,,,
33,,,,
35,,,,
35,,,,
34,,,,
33,,,,
31,,,,
28,,,,
26,,,,
25,,,,
25,,,,
26,,,,
26,,,,
27,,,,
28,,,,
27,,,,
27,,,,
26,,,,
24,,,,
22,,,,
23,,,,
23,,,,
24,,,,
26,,,,
26,,,,
26,,,,
26,,,,
24,,,,
23,,,,
22,,,,
19,,,,
17,,,,
14,,,,
13,,,,
12,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
18,,,,
18,,,,
19,,,,
18,,,,
17,,,,
16,,,,
17,,,,
17,,,,
17,,,,
18,,,,
19,,,,
19,,,,
19,,,,
18,,,,
17,,,,
16,,,,
16,,,,
16,,,,
17,,,,
17,,,,
18,,,,
17,,,,
17,,,,
17,,,,
17,,,,
18,,,,
20,,,,
20,,,,
20,,,,
21,,,,
22,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
26,,,,
26,,,,
25,,,,
24,,,,
25,,,,
27,,,,
28,,,,
29,,,,
29,,,,
30,,,,
31,,,,
30,,,,
31,,,,
33,,,,
35,,,,
37,,,,
39,,,,
41,,,,
41,,,,
41,,,,
39,,,,
39,,,,
38,,,,
36,,,,
34,,,,
30,,,,
27,,,,
26,,,,
26,,,,
26,,,,
26,,,,
26,,,,
27,,,,
27,,,,
27,,,,
28,,,,
29,,,,
29,,,,
29,,,,
27,,,,
27,,,,
27,,,,
27,,,,
28,,,,
29,,,,
30,,,,
30,,,,
31,,,,
32,,,,
32,,,,
32,,,,
32,,,,
32,,,,
31,,,,
31,,,,
31,,,,
30,,,,
29,,,,
29,,,,
30,,,,
29,,,,
29,,,,
29,,,,
28,,,,
28,,,,
27,,,,
28,,,,
30,,,,
32,,,,
35,,,,
37,,,,
39,,,,
40,,,,
40,,,,
39,,,,
39,,,,
38,,,,
36,,,,
34,,,,
32,,,,
30,,,,
28,,,,
26,,,,
24,,,,
23,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
23,,,,
23,,,,
24,,,,
24,,,,
23,,,,
22,,,,
21,,,,
21,,,,
20,,,,
20,,,,
20,,,,
20,,,,
20,,,,
19,,,,
20,,,,
20,,,,
20,,,,
20,,,,
19,,,,
19,,,,
19,,,,
19,,,,
21,,,,
22,,,,
25,,,,
25,,,,
26,,,,
25,,,,
24,,,,
23,,,,
22,,,,
21,,,,
19,,,,
18,,,,
18,,,,
17,,,,
16,,,,
15,,,,
14,,,,
13,,,,
13,,,,
13,,,,
12,,,,
11,,,,
11,,,,
12,,,,
14,,,,
16,,,,
19,,,,
20,,,,
22,,,,
23,,,,
26,,,,
26,,,,
26,,,,
26,,,,
25,,,,
24,,,,
24,,,,
23,,,,
22,,,,
21,,,,
21,,,,
21,,,,
21,,,,
22,,,,
23,,,,
22,,,,
23,,,,
24,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
32,,,,
34,,,,
35,,,,
36,,,,
35,,,,
33,,,,
34,,,,
34,,,,
33,,,,
32,,,,
31,,,,
31,,,,
30,,,,
29,,,,
27,,,,
27,,,,
27,,,,
28,,,,
30,,,,
31,,,,
32,,,,
31,,,,
31,,,,
31,,,,
30,,,,
29,,,,
28,,,,
26,,,,
25,,,,
22,,,,
21,,,,
20,,,,
19,,,,
19,,,,
18,,,,
16,,,,
15,,,,
16,,,,
16,,,,
16,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
22,,,,
23,,,,
25,,,,
27,,,,
27,,,,
26,,,,
26,,,,
27,,,,
29,,,,
31,,,,
33,,,,
34,,,,
33,,,,
33,,,,
32,,,,
32,,,,
31,,,,
30,,,,
28,,,,
28,,,,
29,,,,
31,,,,
33,,,,
34,,,,
35,,,,
37,,,,
37,,,,
36,,,,
37,,,,
36,,,,
34,,,,
33,,,,
29,,,,
27,,,,
25,,,,
24,,,,
22,,,,
22,,,,
21,,,,
21,,,,
20,,,,
19,,,,
17,,,,
16,,,,
15,,,,
15,,,,
16,,,,
17,,,,
17,,,,
19,,,,
19,,,,
19,,,,
19,,,,
19,,,,
19,,,,
18,,,,
17,,,,
16,,,,
17,,,,
17,,,,
18,,,,
19,,,,
19,,,,
18,,,,
17,,,,
17,,,,
16,,,,
14,,,,
14,,,,
15,,,,
15,,,,
15,,,,
16,,,,
16,,,,
17,,,,
18,,,,
19,,,,
19,,,,
19,,,,
19,,,,
18,,,,
18,,,,
19,,,,
19,,,,
19,,,,
18,,,,
17,,,,
18,,,,
17,,,,
17,,,,
16,,,,
16,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
21,,,,
21,,,,
22,,,,
22,,,,
23,,,,
22,,,,
22,,,,
21,,,,
20,,,,
19,,,,
19,,,,
19,,,,
19,,,,
18,,,,
17,,,,
17,,,,
16,,,,
16,,,,
17,,,,
17,,,,
18,,,,
18,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
21,,,,
19,,,,
18,,,,
17,,,,
17,,,,
17,,,,
16,,,,
15,,,,
15,,,,
16,,,,
17,,,,
17,,,,
17,,,,
18,,,,
18,,,,
19,,,,
20,,,,
19,,,,
18,,,,
18,,,,
18,,,,
17,,,,
17,,,,
16,,,,
16,,,,
16,,,,
16,,,,
15,,,,
14,,,,
14,,,,
13,,,,
12,,,,
12,,,,
12,,,,
12,,,,
13,,,,
15,,,,
16,,,,
16,,,,
17,,,,
19,,,,
19,,,,
20,,,,
20,,,,
19,,,,
18,,,,
19,,,,
19,,,,
18,,,,
18,,,,
18,,,,
19,,,,
19,,,,
19,,,,
19,,,,
19,,,,
19,,,,
20,,,,
21,,,,
22,,,,
24,,,,
25,,,,
27,,,,
28,,,,
30,,,,
30,,,,
30,,,,
28,,,,
27,,,,
25,,,,
24,,,,
24,,,,
24,,,,
24,,,,
23,,,,
23,,,,
22,,,,
21,,,,
20,,,,
20,,,,
19,,,,
21,,,,
23,,,,
23,,,,
24,,,,
24,,,,
25,,,,
25,,,,
25,,,,
25,,,,
24,,,,
22,,,,
21,,,,
20,,,,
21,,,,
21,,,,
22,,,,
22,,,,
22,,,,
21,,,,
22,,,,
22,,,,
22,,,,
23,,,,
24,,,,
25,,,,
27,,,,
28,,,,
30,,,,
31,,,,
31,,,,
32,,,,
32,,,,
31,,,,
29,,,,
26,,,,
24,,,,
23,,,,
22,,,,
22,,,,
22,,,,
21,,,,
20,,,,
20,,,,
20,,,,
19,,,,
19,,,,
18,,,,
18,,,,
19,,,,
20,,,,
23,,,,
25,,,,
26,,,,
27,,,,
27,,,,
26,,,,
26,,,,
26,,,,
24,,,,
24,,,,
23,,,,
23,,,,
23,,,,
24,,,,
24,,,,
24,,,,
24,,,,
23,,,,
21,,,,
20,,,,
19,,,,
18,,,,
19,,,,
21,,,,
23,,,,
24,,,,
24,,,,
25,,,,
26,,,,
27,,,,
27,,,,
27,,,,
26,,,,
23,,,,
22,,,,
22,,,,
22,,,,
22,,,,
23,,,,
24,,,,
24,,,,
24,,,,
24,,,,
24,,,,
23,,,,
23,,,,
24,,,,
27,,,,
28,,,,
30,,,,
30,,,,
31,,,,
31,,,,
31,,,,
30,,,,
30,,,,
30,,,,
30,,,,
31,,,,
32,,,,
31,,,,
31,,,,
31,,,,
30,,,,
29,,,,
27,,,,
26,,,,
24,,,,
24,,,,
25,,,,
26,,,,
26,,,,
26,,,,
26,,,,
27,,,,
28,,,,
28,,,,
29,,,,
28,,,,
27,,,,
26,,,,
24,,,,
24,,,,
25,,,,
27,,,,
29,,,,
31,,,,
33,,,,
35,,,,
36,,,,
36,,,,
37,,,,
41,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
47,,,,
47,,,,
47,,,,
46,,,,
44,,,,
41,,,,
39,,,,
38,,,,
39,,,,
40,,,,
40,,,,
38,,,,
36,,,,
34,,,,
34,,,,
32,,,,
30,,,,
29,,,,
28,,,,
29,,,,
29,,,,
29,,,,
29,,,,
29,,,,
29,,,,
29,,,,
28,,,,
25,,,,
23,,,,
23,,,,
21,,,,
20,,,,
20,,,,
21,,,,
19,,,,
18,,,,
17,,,,
16,,,,
16,,,,
15,,,,
13,,,,
13,,,,
12,,,,
11,,,,
11,,,,
12,,,,
13,,,,
14,,,,
13,,,,
13,,,,
13,,,,
13,,,,
13,,,,
14,,,,
15,,,,
16,,,,
19,,,,
20,,,,
22,,,,
22,,,,
22,,,,
21,,,,
21,,,,
22,,,,
22,,,,
21,,,,
20,,,,
19,,,,
20,,,,
22,,,,
23,,,,
22,,,,
24,,,,
25,,,,
26,,,,
28,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
34,,,,
34,,,,
33,,,,
32,,,,
31,,,,
31,,,,
30,,,,
29,,,,
29,,,,
30,,,,
30,,,,
30,,,,
30,,,,
32,,,,
32,,,,
34,,,,
34,,,,
34,,,,
34,,,,
34,,,,
34,,,,
31,,,,
31,,,,
31,,,,
32,,,,
32,,,,
31,,,,
29,,,,
28,,,,
28,,,,
28,,,,
27,,,,
26,,,,
25,,,,
24,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
22,,,,
23,,,,
24,,,,
25,,,,
24,,,,
23,,,,
24,,,,
25,,,,
25,,,,
25,,,,
24,,,,
24,,,,
24,,,,
23,,,,
22,,,,
20,,,,
19,,,,
20,,,,
19,,,,
21,,,,
22,,,,
23,,,,
23,,,,
24,,,,
26,,,,
27,,,,
27,,,,
27,,,,
26,,,,
